Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.004000,2.499001,2.500734,
0.006000,2.498502,2.501101,
0.008000,2.498003,2.501468,
0.010000,2.497505,2.501835,
0.012000,2.497007,2.502202,
0.014000,2.496509,2.502569,
0.016000,2.496012,2.502935,
0.018000,2.495515,2.503302,
0.020000,2.495019,2.503668,
0.022000,2.494523,2.504035,
0.024000,2.494027,2.504401,
0.026000,2.493532,2.504768,
0.028000,2.493037,2.505134,
0.030000,2.492543,2.505500,
0.032000,2.492049,2.505866,
0.034000,2.491555,2.506232,
0.036000,2.491061,2.506598,
0.038000,2.490569,2.506964,
0.040000,2.490076,2.507330,
0.042000,2.489584,2.507696,
0.044000,2.489092,2.508062,
0.046000,2.488600,2.508427,
0.048000,2.488109,2.508793,
0.050000,2.487619,2.509158,
0.052000,2.487128,2.509524,
0.054000,2.486638,2.509889,
0.056000,2.486149,2.510255,
0.058000,2.485659,2.510620,
0.060000,2.485171,2.510985,
0.062000,2.484682,2.511350,
0.064000,2.484194,2.511715,
0.066000,2.483706,2.512081,
0.068000,2.483219,2.512445,
0.070000,2.482732,2.512810,
0.072000,2.482246,2.513175,
0.074000,2.481759,2.513540,
0.076000,2.481274,2.513905,
0.078000,2.480788,2.514269,
0.080000,2.480303,2.514634,
0.082000,2.479819,2.514998,
0.084000,2.479334,2.515363,
0.086000,2.478850,2.515727,
0.088000,2.478367,2.516091,
0.090000,2.477884,2.516456,
0.092000,2.477401,2.516820,
0.094000,2.476918,2.517184,
0.096000,2.476436,2.517548,
0.098000,2.475955,2.517912,
0.100000,2.475473,2.518276,
0.102000,2.474993,2.518640,
0.104000,2.474512,2.519004,
0.106000,2.474032,2.519367,
0.108000,2.473552,2.519731,
0.110000,2.473073,2.520095,
0.112000,2.472594,2.520458,
0.114000,2.472115,2.520821,
0.116000,2.471637,2.521185,
0.118000,2.471159,2.521548,
0.120000,2.470681,2.521911,
0.122000,2.470204,2.522275,
0.124000,2.469727,2.522638,
0.126000,2.469251,2.523001,
0.128000,2.468775,2.523364,
0.130000,2.468299,2.523727,
0.132000,2.467824,2.524090,
0.134000,2.467349,2.524452,
0.136000,2.466875,2.524815,
0.138000,2.466400,2.525178,
0.140000,2.465927,2.525540,
0.142000,2.465453,2.525903,
0.144000,2.464980,2.526265,
0.146000,2.464508,2.526628,
0.148000,2.464035,2.526990,
0.150000,2.463563,2.527353,
0.152000,2.463092,2.527715,
0.154000,2.462621,2.528077,
0.156000,2.462150,2.528439,
0.158000,2.461680,2.528801,
0.160000,2.461210,2.529163,
0.162000,2.460740,2.529525,
0.164000,2.460271,2.529887,
0.166000,2.459802,2.530248,
0.168000,2.459333,2.530610,
0.170000,2.458865,2.530972,
0.172000,2.458397,2.531333,
0.174000,2.457930,2.531695,
0.176000,2.457463,2.532056,
0.178000,2.456996,2.532418,
0.180000,2.456530,2.532779,
0.182000,2.456064,2.533140,
0.184000,2.455598,2.533501,
0.186000,2.455133,2.533862,
0.188000,2.454668,2.534223,
0.190000,2.454204,2.534584,
0.192000,2.453740,2.534945,
0.194000,2.453276,2.535306,
0.196000,2.452813,2.535667,
0.198000,2.452350,2.536028,
0.200000,2.451887,2.536388,
0.202000,2.451425,2.536749,
0.204000,2.450963,2.537109,
0.206000,2.450502,2.537470,
0.208000,2.450041,2.537830,
0.210000,2.449580,2.538191,
0.212000,2.449120,2.538551,
0.214000,2.448660,2.538911,
0.216000,2.448200,2.539271,
0.218000,2.447741,2.539631,
0.220000,2.447282,2.539991,
0.222000,2.446824,2.540351,
0.224000,2.446366,2.540711,
0.226000,2.445908,2.541071,
0.228000,2.445451,2.541431,
0.230000,2.444994,2.541790,
0.232000,2.444537,2.542150,
0.234000,2.444081,2.542510,
0.236000,2.443625,2.542869,
0.238000,2.443169,2.543228,
0.240000,2.442714,2.543588,
0.242000,2.442259,2.543947,
0.244000,2.441805,2.544306,
0.246000,2.441351,2.544665,
0.248000,2.440897,2.545025,
0.250000,2.440444,2.545384,
0.252000,2.439991,2.545743,
0.254000,2.439539,2.546101,
0.256000,2.439087,2.546460,
0.258000,2.438635,2.546819,
0.260000,2.438183,2.547178,
0.262000,2.437732,2.547536,
0.264000,2.437282,2.547895,
0.266000,2.436831,2.548253,
0.268000,2.436381,2.548612,
0.270000,2.435932,2.548970,
0.272000,2.435483,2.549329,
0.274000,2.435034,2.549687,
0.276000,2.434585,2.550045,
0.278000,2.434137,2.550403,
0.280000,2.433689,2.550761,
0.282000,2.433242,2.551119,
0.284000,2.432795,2.551477,
0.286000,2.432349,2.551835,
0.288000,2.431902,2.552193,
0.290000,2.431456,2.552551,
0.292000,2.431011,2.552908,
0.294000,2.430566,2.553266,
0.296000,2.430121,2.553623,
0.298000,2.429677,2.553981,
0.300000,2.429233,2.554338,
0.302000,2.428789,2.554696,
0.304000,2.428346,2.555053,
0.306000,2.427903,2.555410,
0.308000,2.427460,2.555767,
0.310000,2.427018,2.556124,
0.312000,2.426576,2.556481,
0.314000,2.426135,2.556838,
0.316000,2.425694,2.557195,
0.318000,2.425253,2.557552,
0.320000,2.424813,2.557909,
0.322000,2.424373,2.558266,
0.324000,2.423933,2.558622,
0.326000,2.423494,2.558979,
0.328000,2.423055,2.559335,
0.330000,2.422616,2.559692,
0.332000,2.422178,2.560048,
0.334000,2.421740,2.560404,
0.336000,2.421303,2.560761,
0.338000,2.420866,2.561117,
0.340000,2.420429,2.561473,
0.342000,2.419993,2.561829,
0.344000,2.419557,2.562185,
0.346000,2.419121,2.562541,
