Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.004000,2.499001,2.500734,
0.006000,2.498501,2.501101,
0.008000,2.498002,2.501468,
0.010000,2.497504,2.501835,
0.012000,2.497005,2.502202,
0.014000,2.496507,2.502569,
0.016000,2.496010,2.502935,
0.018000,2.495512,2.503302,
0.020000,2.495015,2.503668,
0.022000,2.494518,2.504035,
0.024000,2.494022,2.504401,
0.026000,2.493525,2.504768,
0.028000,2.493029,2.505134,
0.030000,2.492534,2.505500,
0.032000,2.492038,2.505866,
0.034000,2.491543,2.506232,
0.036000,2.491049,2.506598,
0.038000,2.490554,2.506964,
0.040000,2.490060,2.507330,
0.042000,2.489566,2.507696,
0.044000,2.489072,2.508062,
0.046000,2.488579,2.508427,
0.048000,2.488086,2.508793,
0.050000,2.487594,2.509158,
0.052000,2.487101,2.509524,
0.054000,2.486609,2.509889,
0.056000,2.486117,2.510255,
0.058000,2.485626,2.510620,
0.060000,2.485135,2.510985,
0.062000,2.484644,2.511350,
0.064000,2.484153,2.511715,
0.066000,2.483663,2.512081,
0.068000,2.483173,2.512445,
0.070000,2.482683,2.512810,
0.072000,2.482194,2.513175,
0.074000,2.481705,2.513540,
0.076000,2.481216,2.513905,
0.078000,2.480728,2.514269,
0.080000,2.480239,2.514634,
0.082000,2.479751,2.514998,
0.084000,2.479264,2.515363,
0.086000,2.478777,2.515727,
0.088000,2.478290,2.516092,
0.090000,2.477803,2.516456,
0.092000,2.477316,2.516820,
0.094000,2.476830,2.517184,
0.096000,2.476344,2.517548,
0.098000,2.475859,2.517912,
0.100000,2.475374,2.518276,
0.102000,2.474889,2.518640,
0.104000,2.474404,2.519004,
0.106000,2.473920,2.519367,
0.108000,2.473436,2.519731,
0.110000,2.472952,2.520095,
0.112000,2.472469,2.520458,
0.114000,2.471986,2.520822,
0.116000,2.471503,2.521185,
0.118000,2.471020,2.521548,
0.120000,2.470538,2.521912,
0.122000,2.470056,2.522275,
0.124000,2.469574,2.522638,
0.126000,2.469093,2.523001,
0.128000,2.468612,2.523364,
0.130000,2.468131,2.523727,
0.132000,2.467651,2.524090,
0.134000,2.467170,2.524453,
0.136000,2.466690,2.524815,
0.138000,2.466211,2.525178,
0.140000,2.465732,2.525541,
0.142000,2.465253,2.525903,
0.144000,2.464774,2.526266,
0.146000,2.464295,2.526628,
0.148000,2.463817,2.526990,
0.150000,2.463340,2.527353,
0.152000,2.462862,2.527715,
0.154000,2.462385,2.528077,
0.156000,2.461908,2.528439,
0.158000,2.461431,2.528801,
0.160000,2.460955,2.529163,
0.162000,2.460479,2.529525,
0.164000,2.460003,2.529887,
0.166000,2.459528,2.530249,
0.168000,2.459052,2.530610,
0.170000,2.458578,2.530972,
0.172000,2.458103,2.531334,
0.174000,2.457629,2.531695,
0.176000,2.457155,2.532057,
0.178000,2.456681,2.532418,
0.180000,2.456208,2.532779,
0.182000,2.455735,2.533140,
0.184000,2.455262,2.533502,
0.186000,2.454789,2.533863,
0.188000,2.454317,2.534224,
0.190000,2.453845,2.534585,
0.192000,2.453374,2.534946,
0.194000,2.452902,2.535307,
0.196000,2.452431,2.535667,
0.198000,2.451960,2.536028,
0.200000,2.451490,2.536389,
0.202000,2.451020,2.536749,
0.204000,2.450550,2.537110,
0.206000,2.450080,2.537470,
0.208000,2.449611,2.537831,
0.210000,2.449142,2.538191,
0.212000,2.448674,2.538551,
0.214000,2.448205,2.538912,
0.216000,2.447737,2.539272,
0.218000,2.447269,2.539632,
0.220000,2.446802,2.539992,
0.222000,2.446335,2.540352,
0.224000,2.445868,2.540712,
0.226000,2.445401,2.541072,
0.228000,2.444935,2.541431,
0.230000,2.444469,2.541791,
0.232000,2.444003,2.542151,
0.234000,2.443537,2.542510,
0.236000,2.443072,2.542870,
0.238000,2.442607,2.543229,
0.240000,2.442143,2.543589,
0.242000,2.441679,2.543948,
0.244000,2.441215,2.544307,
0.246000,2.440751,2.544666,
0.248000,2.440287,2.545025,
0.250000,2.439824,2.545384,
0.252000,2.439362,2.545743,
0.254000,2.438899,2.546102,
0.256000,2.438437,2.546461,
0.258000,2.437975,2.546820,
0.260000,2.437513,2.547179,
0.262000,2.437052,2.547537,
0.264000,2.436591,2.547896,
0.266000,2.436130,2.548255,
0.268000,2.435669,2.548613,
0.270000,2.435209,2.548971,
0.272000,2.434749,2.549330,
0.274000,2.434290,2.549688,
0.276000,2.433830,2.550046,
0.278000,2.433371,2.550404,
0.280000,2.432913,2.550763,
0.282000,2.432454,2.551121,
0.284000,2.431996,2.551479,
0.286000,2.431538,2.551836,
0.288000,2.431081,2.552194,
0.290000,2.430623,2.552552,
0.292000,2.430167,2.552910,
0.294000,2.429710,2.553267,
0.296000,2.429253,2.553625,
0.298000,2.428797,2.553982,
0.300000,2.428342,2.554340,
0.302000,2.427886,2.554697,
0.304000,2.427431,2.555055,
0.306000,2.426976,2.555412,
0.308000,2.426521,2.555769,
0.310000,2.426067,2.556126,
0.312000,2.425613,2.556483,
0.314000,2.425159,2.556840,
0.316000,2.424705,2.557197,
0.318000,2.424252,2.557554,
0.320000,2.423799,2.557911,
0.322000,2.423347,2.558268,
0.324000,2.422894,2.558624,
0.326000,2.422442,2.558981,
0.328000,2.421991,2.559337,
0.330000,2.421539,2.559694,
0.332000,2.421088,2.560050,
0.334000,2.420637,2.560407,
0.336000,2.420187,2.560763,
0.338000,2.419736,2.561119,
0.340000,2.419286,2.561475,
0.342000,2.418837,2.561831,
0.344000,2.418387,2.562187,
0.346000,2.417938,2.562543,
