Time(ns),Calculated Values(V1),Calculated Values(V2)
0.000000,2.500000,2.500000,
0.002000,2.499500,2.500367,
0.004000,2.499000,2.500734,
0.006000,2.498501,2.501101,
0.008000,2.498001,2.501468,
0.010000,2.497502,2.501835,
0.012000,2.497003,2.502202,
0.014000,2.496503,2.502569,
0.016000,2.496004,2.502935,
0.018000,2.495506,2.503302,
0.020000,2.495007,2.503668,
0.022000,2.494508,2.504035,
0.024000,2.494010,2.504401,
0.026000,2.493512,2.504768,
0.028000,2.493014,2.505134,
0.030000,2.492516,2.505500,
0.032000,2.492018,2.505866,
0.034000,2.491520,2.506232,
0.036000,2.491023,2.506598,
0.038000,2.490525,2.506964,
0.040000,2.490028,2.507330,
0.042000,2.489531,2.507696,
0.044000,2.489034,2.508062,
0.046000,2.488537,2.508427,
0.048000,2.488040,2.508793,
0.050000,2.487544,2.509158,
0.052000,2.487047,2.509524,
0.054000,2.486551,2.509889,
0.056000,2.486055,2.510255,
0.058000,2.485559,2.510620,
0.060000,2.485063,2.510985,
0.062000,2.484567,2.511350,
0.064000,2.484072,2.511716,
0.066000,2.483576,2.512081,
0.068000,2.483081,2.512446,
0.070000,2.482586,2.512810,
0.072000,2.482091,2.513175,
0.074000,2.481596,2.513540,
0.076000,2.481101,2.513905,
0.078000,2.480606,2.514269,
0.080000,2.480112,2.514634,
0.082000,2.479617,2.514998,
0.084000,2.479123,2.515363,
0.086000,2.478629,2.515727,
0.088000,2.478135,2.516092,
0.090000,2.477641,2.516456,
0.092000,2.477148,2.516820,
0.094000,2.476654,2.517184,
0.096000,2.476161,2.517548,
0.098000,2.475668,2.517912,
0.100000,2.475174,2.518276,
0.102000,2.474681,2.518640,
0.104000,2.474189,2.519004,
0.106000,2.473696,2.519367,
0.108000,2.473203,2.519731,
0.110000,2.472711,2.520095,
0.112000,2.472219,2.520458,
0.114000,2.471727,2.520822,
0.116000,2.471235,2.521185,
0.118000,2.470743,2.521548,
0.120000,2.470251,2.521912,
0.122000,2.469759,2.522275,
0.124000,2.469268,2.522638,
0.126000,2.468777,2.523001,
0.128000,2.468286,2.523364,
0.130000,2.467794,2.523727,
0.132000,2.467304,2.524090,
0.134000,2.466813,2.524453,
0.136000,2.466322,2.524816,
0.138000,2.465832,2.525178,
0.140000,2.465341,2.525541,
0.142000,2.464851,2.525904,
0.144000,2.464361,2.526266,
0.146000,2.463871,2.526628,
0.148000,2.463381,2.526991,
0.150000,2.462892,2.527353,
0.152000,2.462402,2.527715,
0.154000,2.461913,2.528078,
0.156000,2.461424,2.528440,
0.158000,2.460935,2.528802,
0.160000,2.460446,2.529164,
0.162000,2.459957,2.529526,
0.164000,2.459468,2.529887,
0.166000,2.458980,2.530249,
0.168000,2.458491,2.530611,
0.170000,2.458003,2.530973,
0.172000,2.457515,2.531334,
0.174000,2.457027,2.531696,
0.176000,2.456539,2.532057,
0.178000,2.456051,2.532419,
0.180000,2.455564,2.532780,
0.182000,2.455076,2.533141,
0.184000,2.454589,2.533502,
0.186000,2.454102,2.533864,
0.188000,2.453615,2.534225,
0.190000,2.453128,2.534586,
0.192000,2.452641,2.534947,
0.194000,2.452154,2.535308,
0.196000,2.451668,2.535668,
0.198000,2.451182,2.536029,
0.200000,2.450695,2.536390,
0.202000,2.450209,2.536750,
0.204000,2.449723,2.537111,
0.206000,2.449238,2.537471,
0.208000,2.448752,2.537832,
0.210000,2.448266,2.538192,
0.212000,2.447781,2.538553,
0.214000,2.447296,2.538913,
0.216000,2.446811,2.539273,
0.218000,2.446326,2.539633,
0.220000,2.445841,2.539993,
0.222000,2.445356,2.540353,
0.224000,2.444872,2.540713,
0.226000,2.444387,2.541073,
0.228000,2.443903,2.541433,
0.230000,2.443419,2.541793,
0.232000,2.442935,2.542152,
0.234000,2.442451,2.542512,
0.236000,2.441967,2.542871,
0.238000,2.441483,2.543231,
0.240000,2.441000,2.543590,
0.242000,2.440517,2.543950,
0.244000,2.440033,2.544309,
0.246000,2.439550,2.544668,
0.248000,2.439067,2.545027,
0.250000,2.438585,2.545386,
0.252000,2.438102,2.545745,
0.254000,2.437620,2.546104,
0.256000,2.437137,2.546463,
0.258000,2.436655,2.546822,
0.260000,2.436173,2.547181,
0.262000,2.435691,2.547540,
0.264000,2.435209,2.547898,
0.266000,2.434727,2.548257,
0.268000,2.434246,2.548615,
0.270000,2.433764,2.548974,
0.272000,2.433283,2.549332,
0.274000,2.432802,2.549691,
0.276000,2.432321,2.550049,
0.278000,2.431840,2.550407,
0.280000,2.431359,2.550765,
0.282000,2.430879,2.551123,
0.284000,2.430398,2.551481,
0.286000,2.429918,2.551839,
0.288000,2.429438,2.552197,
0.290000,2.428958,2.552555,
0.292000,2.428478,2.552913,
0.294000,2.427998,2.553270,
0.296000,2.427518,2.553628,
0.298000,2.427039,2.553986,
0.300000,2.426559,2.554343,
0.302000,2.426080,2.554701,
0.304000,2.425601,2.555058,
0.306000,2.425122,2.555415,
0.308000,2.424643,2.555772,
0.310000,2.424165,2.556130,
0.312000,2.423686,2.556487,
0.314000,2.423208,2.556844,
0.316000,2.422729,2.557201,
0.318000,2.422251,2.557558,
0.320000,2.421773,2.557915,
0.322000,2.421295,2.558271,
0.324000,2.420817,2.558628,
0.326000,2.420340,2.558985,
0.328000,2.419862,2.559342,
0.330000,2.419385,2.559698,
0.332000,2.418908,2.560055,
0.334000,2.418431,2.560411,
0.336000,2.417954,2.560767,
0.338000,2.417477,2.561124,
0.340000,2.417000,2.561480,
0.342000,2.416524,2.561836,
0.344000,2.416047,2.562192,
0.346000,2.415571,2.562548,
